,GDP
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,
1947-01-01,
1947-04-01,0.011465333350997753
1947-07-01,0.014598092365337045
1947-10-01,0.03990084198033461
1948-01-01,0.022825532772308144
1948-04-01,0.025358542153250063
1948-07-01,0.024029588696552473
1948-10-01,0.00418184832088464
1949-01-01,-0.01920116607104827
1949-04-01,-0.013481540607921616
1949-07-01,0.005651933316913826
1949-10-01,-0.008323630067176957
1950-01-01,0.03700089325047351
1950-04-01,0.03345835901205696
1950-07-01,0.05939567158707071
1950-10-01,0.03755269314229359
1951-01-01,0.048962053941632
1951-04-01,0.023792091098558288
1951-07-01,0.02097923738287566
1951-10-01,0.013548117449043495
1952-01-01,0.010173300514791705
1952-04-01,0.0033571509646614928
1952-07-01,0.018309050538769966
1952-10-01,0.035035707113835635
1953-01-01,0.01864797687721964
1953-04-01,0.009667536681539524
1953-07-01,-0.0014765240510126176
1953-10-01,-0.013385158296281396
1954-01-01,-0.0016206093147168588
1954-04-01,0.0020117549230063148
1954-07-01,0.012546537908513677
1954-10-01,0.02210199614339814
1955-01-01,0.032825006892164055
1955-04-01,0.02027136110631833
1955-07-01,0.02040333625123303
1955-10-01,0.015844669106702014
1956-01-01,0.0060535882451571155
1956-04-01,0.014144085794387529
1956-07-01,0.011549379883029509
1956-10-01,0.020341751842508415
1957-01-01,0.02002986633455084
1957-04-01,0.004769578931138163
1957-07-01,0.015691088764075545
1957-10-01,-0.009694591799695118
1958-01-01,-0.015543540683084167
1958-04-01,0.009447467763884276
1958-07-01,0.02894903554822026
1958-10-01,0.02783629225904871
1959-01-01,0.02133987315255581
1959-04-01,0.023860188651594783
1959-07-01,0.004545258458228396
1959-10-01,0.006768979770764183
1960-01-01,0.026228857098163694
1960-04-01,-0.002893717047358635
1960-07-01,0.00832629565968368
1960-10-01,-0.009959550036287013
1961-01-01,0.008884933796393213
1961-04-01,0.019130792258732043
1961-07-01,0.02158008049154514
1961-10-01,0.022553025260082293
1962-01-01,0.02281848499390282
1962-04-01,0.01063826459672601
1962-07-01,0.014323132460728694
1962-10-01,0.005327092521006271
1963-01-01,0.015222928237971445
1963-04-01,0.012913468629636604
1963-07-01,0.023061838451766015
1963-10-01,0.014624616197155937
1964-01-01,0.023999459706221415
1964-04-01,0.013128888998648947
1964-07-01,0.019489857857236892
1964-10-01,0.007612229510005619
1965-01-01,0.02893406534708287
1965-04-01,0.017129096596042004
1965-07-01,0.025863988459526865
1965-10-01,0.029629167491572517
1966-01-01,0.030465659436216264
1966-04-01,0.011553715512958362
1966-07-01,0.018044104714454612
1966-10-01,0.016533342111281435
1967-01-01,0.012957774632972985
1967-04-01,0.0056852664394897445
1967-07-01,0.01895967226796902
1967-10-01,0.018556964394876196
1968-01-01,0.031214946932488274
1968-04-01,0.027073932622068142
1968-07-01,0.017485350016673173
1968-10-01,0.01793304974405796
1969-01-01,0.025806903567815453
1969-04-01,0.015664859663018227
1969-07-01,0.020536520101907207
1969-10-01,0.007921310331370002
1970-01-01,0.012494975534354857
1970-04-01,0.015269994497424833
1970-07-01,0.017353184598879245
1970-10-01,0.002344268034927488
1971-01-01,0.04187027054315706
1971-04-01,0.018430085419132602
1971-07-01,0.018341983981390975
1971-10-01,0.010660699992384615
1972-01-01,0.033306312987610553
1972-04-01,0.028644581644287292
1972-07-01,0.01892713138921298
1972-10-01,0.02927366052245617
1973-01-01,0.035908460131378384
1973-04-01,0.026079646656175015
1973-07-01,0.01401211593783458
1973-10-01,0.029176741385602334
1974-01-01,0.01005569386863936
1974-04-01,0.0257171357030197
1974-07-01,0.019398151747503256
1974-10-01,0.025100496328622768
1975-01-01,0.010222755583056298
1975-04-01,0.02187194838780826
1975-07-01,0.03449041372740602
1975-10-01,0.029965507363460375
1976-01-01,0.03275043853291759
1976-04-01,0.017341338104070125
1976-07-01,0.018308618898489115
1976-10-01,0.024977540575465973
1977-01-01,0.027723465566237948
1977-04-01,0.0332630750562366
1977-07-01,0.029977460223613583
1977-10-01,0.02138757601102359
1978-01-01,0.017627997386584937
1978-04-01,0.056857760925956846
1978-07-01,0.026836479594176232
1978-10-01,0.03362220081821743
1979-01-01,0.019850922421469797
1979-04-01,0.025260743730741275
1979-07-01,0.029026844257304063
1979-10-01,0.020892364540888053
1980-01-01,0.023926527582343482
1980-04-01,0.0026882920202320193
1980-07-01,0.020917892400071914
1980-10-01,0.04419518127638611
1981-01-01,0.04539384180256789
1981-04-01,0.012192801674947518
1981-07-01,0.030541015168266128
1981-10-01,0.0061787937995898545
1982-01-01,-0.0019880649465306988
1982-04-01,0.017459604307097365
1982-07-01,0.010256432792731474
1982-10-01,0.01070762967622585
1983-01-01,0.020609300677437048
1983-04-01,0.029903276863999295
1983-07-01,0.030362979153876424
1983-10-01,0.028202997418665277
1984-01-01,0.029432614403813062
1984-04-01,0.025652183226325675
1984-07-01,0.01844637780346403
1984-10-01,0.01562100372225217
1985-01-01,0.019482591934837146
1985-04-01,0.015183536846144818
1985-07-01,0.02116863162913951
1985-10-01,0.012982146612037226
1986-01-01,0.014254058478856635
1986-04-01,0.008272450164501066
1986-07-01,0.013619556904105323
1986-10-01,0.0107840017530485
1987-01-01,0.013759383997005159
1987-04-01,0.017632953512395133
1987-07-01,0.016179757677168283
1987-10-01,0.024957249558040573
1988-01-01,0.012970249572964221
1988-04-01,0.022734948282947087
1988-07-01,0.01772225187011678
1988-10-01,0.021845138070249348
1989-01-01,0.020483978520692503
1989-04-01,0.018197658588041676
1989-07-01,0.014663025534526142
1989-10-01,0.009066531429009927
1990-01-01,0.021595446713407185
1990-04-01,0.01476051475683171
1990-07-01,0.009200455308418398
1990-10-01,-0.0017276427653207804
1991-01-01,0.005057357133386731
1991-04-01,0.015077361502868314
1991-07-01,0.012823704276186731
1991-10-01,0.009398747361114346
1992-01-01,0.015610832427165988
1992-04-01,0.01677803616574991
1992-07-01,0.014708407976383953
1992-10-01,0.017235751466046167
1993-01-01,0.007256564190816661
1993-04-01,0.011741553633992652
1993-07-01,0.010687239590788877
1993-10-01,0.018947249836214652
1994-01-01,0.014426067572559376
1994-04-01,0.01828120417146728
1994-07-01,0.011544093816374001
1994-10-01,0.016801416544245384
1995-01-01,0.008946900681642944
1995-04-01,0.007774241405028803
1995-07-01,0.013381644091538192
1995-10-01,0.01157656210110325
1996-01-01,0.012260452661113419
1996-04-01,0.020674758952713645
1996-07-01,0.012195955142260573
1996-10-01,0.015662768880966738
1997-01-01,0.012379097232003033
1997-04-01,0.018502460122904907
1997-07-01,0.016762230445625192
1997-10-01,0.011829341790379644
1998-01-01,0.011407881497815353
1998-04-01,0.011574244942551104
1998-07-01,0.016737962731383504
1998-10-01,0.018777980355340063
1999-01-01,0.012583621343372542
1999-04-01,0.012095263426347813
1999-07-01,0.01669922418926717
1999-10-01,0.021805656447295263
2000-01-01,0.01025114155537743
2000-04-01,0.024252272559508015
2000-07-01,0.006850692349013698
2000-10-01,0.011330902336348814
2001-01-01,0.0032992511741500863
2001-04-01,0.01222356936880864
2001-07-01,-9.246582781052837e-05
2001-10-01,0.005874847582155951
2002-01-01,0.011475149310435029
2002-04-01,0.009594480123970683
2002-07-01,0.008831641885766572
2002-10-01,0.007021243585219494
2003-01-01,0.010136641922702694
2003-04-01,0.012330626934195621
2003-07-01,0.022195777452036936
2003-10-01,0.017616107835717543
2004-01-01,0.012763089836187902
2004-04-01,0.015757185384984496
2004-07-01,0.015766649668751853
2004-10-01,0.017872765077211028
2005-01-01,0.018982720274538067
2005-04-01,0.012095931891508371
2005-07-01,0.016880008311837003
2005-10-01,0.013720172637199823
2006-01-01,0.020425795196878482
2006-04-01,0.01127978516591277
2006-07-01,0.008453977374392352
2006-10-01,0.012137270406338274
2007-01-01,0.012464481672711969
2007-04-01,0.01302923871616457
2007-07-01,0.011187984324070754
2007-10-01,0.010310559445708023
2008-01-01,-0.0005791664217102976
2008-04-01,0.010764456279087398
2008-07-01,0.0022374163953209347
2008-10-01,-0.019710398507420734
2009-01-01,-0.012211751484478839
2009-04-01,-0.003447578183424227
2009-07-01,0.004692740011716268
2009-10-01,0.013908546478694106
2010-01-01,0.0077075132288886294
2010-04-01,0.014495760820626202
2010-07-01,0.010717523193791934
2010-10-01,0.011025467404740752
2011-01-01,0.0027379493820198775
2011-04-01,0.013335542455841676
2011-07-01,0.00577731889801214
2011-10-01,0.01235832666867509
2012-01-01,0.014198824964607226
2012-04-01,0.008570528531304689
2012-07-01,0.006912880790249432
2012-10-01,0.006162397219654281
2013-01-01,0.01377582038183256
2013-04-01,0.004823588407667501
2013-07-01,0.013369208723768011
2013-10-01,0.013951025631422809
2014-01-01,0.0003325990382965216
2014-04-01,0.018480058521502585
2014-07-01,0.016178035118006306
2014-10-01,0.006039332555225485
2015-01-01,0.00841964337029566
2015-04-01,0.01190081665551368
2015-07-01,0.006643280512165006
2015-10-01,0.00181943289883435
2016-01-01,0.004913071111745992
2016-04-01,0.009977569259453034
2016-07-01,0.009623271756806773
2016-10-01,0.010359731785420934
2017-01-01,0.009940538931322962
2017-04-01,0.008190346049714137
2017-07-01,0.012979684686250437
2017-10-01,0.017342279521649573
2018-01-01,0.014441493227598912
2018-04-01,0.012337594788238704
2018-07-01,0.010527882858035298
2018-10-01,0.0057117470005589865
2019-01-01,0.009218978299436742
2019-04-01,0.01347190979430124
2019-07-01,0.014808675718697373
2019-10-01,0.009899007733865872
2020-01-01,-0.008331570242660291
2020-04-01,-0.08602602947994242
2020-07-01,0.08387206371622113
2020-10-01,0.017479734513974776
2021-01-01,0.02651758974297458
2021-04-01,0.03232864080692188
2021-07-01,0.023476677596455886
2021-10-01,0.034072537606782305
2022-01-01,0.01744800824274151
2022-04-01,0.0239074352247286
2022-07-01,0.018201034136984262
2022-10-01,0.01635269038270515
2023-01-01,0.016520328250292593
2023-04-01,0.011456930777171692
2023-07-01,0.01959569832916941
2023-10-01,0.012385244163393594
2024-01-01,0.009922178279294869
2024-04-01,0.015172063391565516
2024-07-01,0.01243207389381773
2024-10-01,0.010567495198241517
2025-01-01,0.007247093740932797
2025-04-01,0.01465850850439665
2025-07-01,0.01988570418439295
2025-10-01,0.010380647590800152
2026-01-01,0.013708790594206377
